"link-primary","link-primary href","CompanyLogo src","SearchResultCard__status","SearchResultCard__favoriteLink href","Tag","SearchResultCard__footerItem","SearchResultCard__footerItem 2","SearchResultCard__favoriteLink href 2"
"Senior NLP Data Scientist for AI Centre (m/f)","https://www.jobs.cz/rpd/1626644111/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=059e800c-38b4-474b-bf64-c53263b5b26e&v=1568803557574&width=180","22. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1626644111","Odpověď do 2 týdnů","O2 Czech Republic a.s.","Praha – Michle","[object Object]"
"DATA ARCHITEKT (M/Ž)","https://www.jobs.cz/rpd/1625828575/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=240c73c2-100b-4540-a11f-28de1243cf5e&v=1643282390028&width=180","10. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1625828575","Odpověď do 2 týdnů","ČEZ, a. s.","Hradec Králové – Pražské Předměstí + 1 další lokalita","[object Object]"
"Data Scientist (A2006)","https://www.jobs.cz/rpd/1623731307/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","","18. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1623731307","","Future Recruitment s.r.o.","Praha","[object Object]"
"Data Specialist with French & English","https://www.jobs.cz/rpd/1626129172/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=fe767da5-25d2-4eb7-80d5-e221b21e4a2a&v=1587560850936&width=180","14. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1626129172","Odpověď do 2 týdnů","NESS Czech","Praha – Chodov","[object Object]"
"Data Scientist","https://www.jobs.cz/rpd/1622532344/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=ba8dd34c-911a-4cf4-8ecb-7586685d2949&v=1674740762523&width=180","3. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1622532344","","Česká spořitelna, a.s.","Praha","[object Object]"
"Senior BI/Data analyst – Technology Consulting","https://www.jobs.cz/rpd/1595676510/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=6263c4ce-5c69-42d6-bc34-c7e32f639c93&v=1609841967022&width=180","17. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1595676510","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","Praha – Nusle","[object Object]"
"Senior Data Analyst","https://www.jobs.cz/rpd/1626237552/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","","Přidáno dnes","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1626237552","Možnost občasné práce z domova","Škoda X s.r.o.","Praha – Michle","[object Object]"
"Data engineer - Technology consulting","https://www.jobs.cz/rpd/1625131902/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=6263c4ce-5c69-42d6-bc34-c7e32f639c93&v=1609841967022&width=180","Aktualizováno dnes","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1625131902","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","Praha – Nusle","[object Object]"
"Specialista meta dat","https://www.jobs.cz/rpd/1611818482/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=240c73c2-100b-4540-a11f-28de1243cf5e&v=1643282390028&width=180","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1611818482","Odpověď do 2 týdnů","ČEZ, a. s.","Praha – Michle","[object Object]"
"Data Specialist/ka","https://www.jobs.cz/rpd/1616304814/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=ba8dd34c-911a-4cf4-8ecb-7586685d2949&v=1674740762523&width=180","3. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1616304814","","Česká spořitelna, a.s.","Praha","[object Object]"
