Mass	Value
22,656	1,559998E-09
22,688	1,229939E-09
22,719	8,731347E-10
22,750	5,612352E-10
22,781	3,718035E-10
22,813	2,911785E-10
22,844	2,486130E-10
22,875	2,247533E-10
22,906	2,476179E-10
22,938	3,144036E-10
22,969	3,629191E-10
23,000	3,121482E-10
23,031	1,509179E-10
23,063	0,000000E+00
23,094	0,000000E+00
23,125	7,554867E-11
23,156	2,620074E-10
23,188	4,090317E-10
23,219	5,278816E-10
23,250	6,759014E-10
23,281	8,728431E-10
23,313	1,111397E-09
23,344	1,403503E-09
23,375	1,850555E-09
23,406	2,660470E-09
23,438	4,024611E-09
23,469	5,977926E-09
23,500	8,344490E-09
23,531	1,078180E-08
23,563	1,295681E-08
23,594	1,471868E-08
23,625	1,610174E-08
23,656	1,720570E-08
23,688	1,806475E-08
23,719	1,861930E-08
23,750	1,885713E-08
23,781	1,894080E-08
23,813	1,906617E-08
23,844	1,920992E-08
23,875	1,916925E-08
23,906	1,881067E-08
23,938	1,814418E-08
23,969	1,724665E-08
24,000	1,625016E-08
24,031	1,530381E-08
24,063	1,443595E-08
24,094	1,356527E-08
24,125	1,269583E-08
24,156	1,195482E-08
24,188	1,136675E-08
24,219	1,072687E-08
24,250	9,821460E-09
24,281	8,697973E-09
24,313	7,672574E-09
24,344	7,164835E-09
24,375	7,581623E-09
24,406	9,343718E-09
24,438	1,287776E-08
24,469	1,837778E-08
24,500	2,546887E-08
24,531	3,315496E-08
24,563	4,027741E-08
24,594	4,609758E-08
24,625	5,044102E-08
24,656	5,345069E-08
24,688	5,537989E-08
24,719	5,652536E-08
24,750	5,712247E-08
24,781	5,729338E-08
24,813	5,717824E-08
24,844	5,701975E-08
24,875	5,699632E-08
24,906	5,696743E-08
24,938	5,650424E-08
24,969	5,531421E-08
25,000	5,348152E-08
25,031	5,120475E-08
25,063	4,861315E-08
25,094	4,587425E-08
25,125	4,319925E-08
25,156	4,071005E-08
25,188	3,833909E-08
25,219	3,583899E-08
25,250	3,296745E-08
25,281	2,976281E-08
25,313	2,684359E-08
25,344	2,574300E-08
25,375	2,900208E-08
25,406	3,954395E-08
25,438	5,937126E-08
25,469	8,842444E-08
25,500	1,243198E-07
25,531	1,629330E-07
25,563	1,995929E-07
25,594	2,306123E-07
25,625	2,543513E-07
25,656	2,710779E-07
25,688	2,819980E-07
25,719	2,884209E-07
25,750	2,914796E-07
25,781	2,921640E-07
25,813	2,913079E-07
25,844	2,894515E-07
25,875	2,867265E-07
25,906	2,828764E-07
25,938	2,774180E-07
25,969	2,698076E-07
26,000	2,595764E-07
26,031	2,466444E-07
26,063	2,317585E-07
26,094	2,164865E-07
26,125	2,023847E-07
26,156	1,899583E-07
26,188	1,783832E-07
26,219	1,661008E-07
26,250	1,517310E-07
26,281	1,348665E-07
26,313	1,168204E-07
26,344	1,014075E-07
26,375	9,498482E-08
26,406	1,046609E-07
26,438	1,352482E-07
26,469	1,872657E-07
26,500	2,566646E-07
26,531	3,352724E-07
26,563	4,126729E-07
26,594	4,799686E-07
26,625	5,327625E-07
26,656	5,709732E-07
26,688	5,966084E-07
26,719	6,120669E-07
26,750	6,198033E-07
26,781	6,223362E-07
26,813	6,217980E-07
26,844	6,192977E-07
26,875	6,146958E-07
26,906	6,071128E-07
26,938	5,957114E-07
26,969	5,798301E-07
27,000	5,587010E-07
27,031	5,319826E-07
27,063	5,009666E-07
27,094	4,688140E-07
27,125	4,390175E-07
27,156	4,131870E-07
27,188	3,899873E-07
27,219	3,663925E-07
27,250	3,410765E-07
27,281	3,194212E-07
27,313	3,208326E-07
27,344	3,853252E-07
27,375	5,675111E-07
27,406	9,115934E-07
27,438	1,425858E-06
27,469	2,080174E-06
27,500	2,817549E-06
27,531	3,561721E-06
27,563	4,232351E-06
27,594	4,773579E-06
27,625	5,170634E-06
27,656	5,440131E-06
27,688	5,609501E-06
27,719	5,703538E-06
27,750	5,742008E-06
27,781	5,742427E-06
27,813	5,719563E-06
27,844	5,679932E-06
27,875	5,619186E-06
27,906	5,527417E-06
27,938	5,395726E-06
27,969	5,217125E-06
28,000	4,986597E-06
28,031	4,708206E-06
28,063	4,403377E-06
28,094	4,104761E-06
28,125	3,835491E-06
28,156	3,592801E-06
28,188	3,350252E-06
28,219	3,075235E-06
28,250	2,746844E-06
28,281	2,362382E-06
28,313	1,935714E-06
28,344	1,494991E-06
28,375	1,081560E-06
28,406	7,461494E-07
28,438	5,323199E-07
28,469	4,523891E-07
28,500	4,804381E-07
28,531	5,696566E-07
28,563	6,761065E-07
28,594	7,721875E-07
28,625	8,470726E-07
28,656	9,003902E-07
28,688	9,357878E-07
28,719	9,572683E-07
28,750	9,681889E-07
28,781	9,715718E-07
28,813	9,701664E-07
28,844	9,656018E-07
28,875	9,576042E-07
28,906	9,445442E-07
28,938	9,247297E-07
28,969	8,969545E-07
29,000	8,604869E-07
29,031	8,157847E-07
29,063	7,656036E-07
29,094	7,147456E-07
29,125	6,676774E-07
29,156	6,255169E-07
29,188	5,850642E-07
29,219	5,410265E-07
29,250	4,893859E-07
29,281	4,291715E-07
29,313	3,625911E-07
29,344	2,949164E-07
29,375	2,342475E-07
29,406	1,901314E-07
29,438	1,703501E-07
29,469	1,772717E-07
29,500	2,065450E-07
29,531	2,489839E-07
29,563	2,942093E-07
29,594	3,341913E-07
29,625	3,650779E-07
29,656	3,866941E-07
29,688	4,006574E-07
29,719	4,087454E-07
29,750	4,123994E-07
29,781	4,129573E-07
29,813	4,116744E-07
29,844	4,092750E-07
29,875	4,056670E-07
29,906	4,002424E-07
29,938	3,922582E-07
29,969	3,809129E-07
30,000	3,656242E-07
30,031	3,466610E-07
30,063	3,254734E-07
30,094	3,041691E-07
30,125	2,843348E-07
30,156	2,661614E-07
30,188	2,484530E-07
30,219	2,292808E-07
30,250	2,069516E-07
30,281	1,808510E-07
30,313	1,517848E-07
30,344	1,219612E-07
30,375	9,475086E-08
30,406	7,399102E-08
30,438	6,268046E-08
30,469	6,171657E-08
30,500	6,961836E-08
30,531	8,320302E-08
30,563	9,874997E-08
30,594	1,131949E-07
30,625	1,247671E-07
30,656	1,329757E-07
30,688	1,382092E-07
30,719	1,411846E-07
30,750	1,425535E-07
30,781	1,428412E-07
30,813	1,425005E-07
30,844	1,417992E-07
30,875	1,406909E-07
30,906	1,389002E-07
30,938	1,361667E-07
30,969	1,323884E-07
31,000	1,275150E-07
31,031	1,215033E-07
31,063	1,145727E-07
31,094	1,073540E-07
31,125	1,005643E-07
31,156	9,454171E-08
31,188	8,906537E-08
31,219	8,356848E-08
31,250	7,786982E-08
31,281	7,333353E-08
31,313	7,383473E-08
31,344	8,547161E-08
31,375	1,142994E-07
31,406	1,633600E-07
31,438	2,312768E-07
31,469	3,126964E-07
31,500	3,993329E-07
31,531	4,815841E-07
31,563	5,514163E-07
31,594	6,050051E-07
31,625	6,428055E-07
31,656	6,675152E-07
31,688	6,821688E-07
31,719	6,894158E-07
31,750	6,915172E-07
31,781	6,902857E-07
31,813	6,866584E-07
31,844	6,804144E-07
31,875	6,706898E-07
