,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
95,0.002945649544676476,0.005470149054199512,0.007994648563722548,[ 1.91105406e-01  5.92381405e+01 -1.77138598e+03],[7.58600268e-04 2.79186389e-01 2.45696481e+01],[0. 0.],[0. 0.]
96,0.0029643495410433133,0.0054888490505663485,0.008013348560089385,[ 1.90855228e-01  5.93388449e+01 -1.78099019e+03],[7.70296504e-04 2.82544341e-01 2.47873791e+01],[0. 0.],[0. 0.]
97,0.002983049537410151,0.005507549046933187,0.008032048556456221,[ 1.90594820e-01  5.94427238e+01 -1.79082314e+03],[7.81915219e-04 2.85851152e-01 2.49992468e+01],[0. 0.],[0. 0.]
98,0.003001749533776988,0.005526249043300024,0.00805074855282306,[ 1.90324715e-01  5.95495531e+01 -1.80086349e+03],[7.93433363e-04 2.89098935e-01 2.52046192e+01],[0. 0.],[0. 0.]
99,0.0030204495301438252,0.0055449490396668605,0.008069448549189897,[ 1.90044735e-01  5.96593773e+01 -1.81111364e+03],[8.04828897e-04 2.92280257e-01 2.54029091e+01],[0. 0.],[0. 0.]
100,0.003039149526510663,0.005563649036033699,0.008088148545556733,[ 1.89755365e-01  5.97719937e+01 -1.82155436e+03],[8.16080805e-04 2.95388142e-01 2.55935774e+01],[0. 0.],[0. 0.]
101,0.0030578495228775,0.005582349032400536,0.008106848541923572,[ 1.89455756e-01  5.98876958e+01 -1.83220985e+03],[8.27169362e-04 2.98416223e-01 2.57761452e+01],[0. 0.],[0. 0.]
102,0.0030765495192443372,0.0056010490287673725,0.008125548538290409,[ 1.89147735e-01  6.00057862e+01 -1.84301806e+03],[8.38075138e-04 3.01358254e-01 2.59501474e+01],[0. 0.],[0. 0.]
103,0.003095249515611175,0.005619749025134211,0.008144248534657245,[ 1.88829584e-01  6.01268800e+01 -1.85403109e+03],[8.48780494e-04 3.04208771e-01 2.61151945e+01],[0. 0.],[0. 0.]
104,0.0031139495119780116,0.005638449021501048,0.008162948531024084,[ 1.88503757e-01  6.02500554e+01 -1.86516810e+03],[8.59268716e-04 3.06962678e-01 2.62709313e+01],[0. 0.],[0. 0.]
105,0.0031326495083448492,0.0056571490178678845,0.00818164852739092,[ 1.88168130e-01  6.03760766e+01 -1.87649415e+03],[8.69527980e-04 3.09616706e-01 2.64171649e+01],[0. 0.],[0. 0.]
